"Instruction","Column","df_name","Example","Rationale","Description","PM_Metric","Code 1","Code 2","Code 3","errors","pred_col","num_rows_different"
"Create column called ""dismissed_by_prefecture"", defined as a boolean. True if any of the values of a case in column dismissal = ""#"" , if not False. Apply the same value across all rows of each case","dismissed_by_prefecture","1","0         False
1         False
2         False
3         False
4         False
          ...  
561465    False
561466    False
561467    False
561468    False
561469    False
Name: dismissed_by_prefecture, Length: 561470, dtype: bool","No rationale","- 'dismissed_by_prefecture' (boolean): TRUE if any dismissal value in a case is '#', indicating the fine was dismissed by the prefecture; FALSE otherwise. This value is consistent across all rows within the same case.","True","
import pandas as pd
query = 'SELECT * FROM event_log'
dp = pd.read_sql_query(query, conn, parse_dates=['time_timestamp'])
for cols in dp.columns:
    if dp[cols].isin([0,1]).all() and not cols.endswith(""_count""):
        dp[cols] = dp[cols].astype(bool)

# Determine if any dismissal in a case is by the prefecture
prefecture_dismissal = dp.groupby('case_concept_name')['dismissal'].apply(lambda x: (x == '#').any())

# Map the result back to the original dataframe
dp['dismissed_by_prefecture'] = dp['case_concept_name'].map(prefecture_dismissal)

# Update the database table with the new column
cur = conn.cursor()
cur.execute(""ALTER TABLE event_log ADD COLUMN dismissed_by_prefecture BOOLEAN"")
dp.to_sql('temp_table', conn, if_exists='replace', index=False)
conn.commit()
","No code","No code","[]","0         False
1         False
2         False
3         False
4         False
          ...  
561465    False
561466    False
561467    False
561468    False
561469    False
Name: dismissed_by_prefecture, Length: 561470, dtype: bool","0"
"Create column called ""dismissed_by_judge"", defined as a boolean. True if any of the values of a case in column dismissal = ""G"" , if not False. Apply the same value across all rows of each case","dismissed_by_judge","1","0         False
1         False
2         False
3         False
4         False
          ...  
561465    False
561466    False
561467    False
561468    False
561469    False
Name: dismissed_by_judge, Length: 561470, dtype: bool","No rationale","- 'dismissed_by_judge' (boolean): TRUE if any dismissal value in a case is 'G', indicating the fine was dismissed by the judge; FALSE otherwise. This value is consistent across all rows within the same case.","True","
import pandas as pd
query = 'SELECT * FROM event_log'
dp = pd.read_sql_query(query, conn, parse_dates=['time_timestamp'])
for cols in dp.columns:
    if dp[cols].isin([0,1]).all() and not cols.endswith(""_count""):
        dp[cols] = dp[cols].astype(bool)

# Determine if any dismissal in a case is 'G', indicating dismissal by judge
dismissed_by_judge_cases = dp.groupby('case_concept_name')['dismissal'].apply(lambda x: 'G' in x.values)

# Map the result back to the original dataframe
dp['dismissed_by_judge'] = dp['case_concept_name'].map(dismissed_by_judge_cases)

# Update the database table with the new column
cur = conn.cursor()
cur.execute(""ALTER TABLE event_log ADD COLUMN dismissed_by_judge BOOLEAN"")
dp.to_sql('temp_table', conn, if_exists='replace', index=False)
conn.commit()
","No code","No code","[]","0         False
1         False
2         False
3         False
4         False
          ...  
561465    False
561466    False
561467    False
561468    False
561469    False
Name: dismissed_by_judge, Length: 561470, dtype: bool","0"
"Create a column called ""maxtotalPaymentAmount"", type int, which for every case is the highest ""totalPaymentAmount"" value, if all the values of ""totalPaymentAmount"" are Nan or Null, simply use 0 instead. Make sure its the same value applied to each row of a case","maxtotalPaymentAmount","1","0         0
1         0
2         0
3         0
4         0
         ..
561465    0
561466    0
561467    0
561468    0
561469    0
Name: maxtotalPaymentAmount, Length: 561470, dtype: int64","No rationale","- 'maxtotalPaymentAmount' (int): The highest 'totalPaymentAmount' recorded for each case, ensuring consistency across all rows within the same case. If all values are NaN or Null, the value is set to 0.","True","
import pandas as pd
query = 'SELECT * FROM event_log'
dp = pd.read_sql_query(query, conn, parse_dates=['time_timestamp'])
for cols in dp.columns:
    if dp[cols].isin([0,1]).all() and not cols.endswith(""_count""):
        dp[cols] = dp[cols].astype(bool)

# Calculate the maximum totalPaymentAmount for each case, using 0 if all values are NaN or Null
max_payment_amounts = dp.groupby('case_concept_name')['totalPaymentAmount'].max().fillna(0).reset_index(name='maxtotalPaymentAmount')

# Merge the maximum totalPaymentAmount back to the original dataframe
dp = pd.merge(dp, max_payment_amounts, on='case_concept_name', how='left')

# Ensure 'maxtotalPaymentAmount' is of integer type and has no NaN values
dp['maxtotalPaymentAmount'] = dp['maxtotalPaymentAmount'].fillna(0).astype(int)

# Update the database table with the new column
cur = conn.cursor()
cur.execute(""ALTER TABLE event_log ADD COLUMN maxtotalPaymentAmount INTEGER"")
dp.to_sql('temp_table', conn, if_exists='replace', index=False)
conn.commit()
","No code","No code","[]","0         0
1         0
2         0
3         0
4         0
         ..
561465    0
561466    0
561467    0
561468    0
561469    0
Name: maxtotalPaymentAmount, Length: 561470, dtype: int64","0"
"Create a column called ""expense_sum"", defined as type int, which sums all ""expense"" values per case, make sure this exepense_sum is the same for every row in a case","expense_sum","1","0         1100
1         1100
2         1100
3         1100
4         1100
          ... 
561465    1516
561466    1516
561467    1516
561468    1516
561469    1516
Name: expense_sum, Length: 561470, dtype: int64","No rationale","- 'expense_sum' (int): The total sum of 'expense' values for each case, ensuring consistency across all rows within the same case.","True","
import pandas as pd
query = 'SELECT * FROM event_log'
dp = pd.read_sql_query(query, conn, parse_dates=['time_timestamp'])
for cols in dp.columns:
    if dp[cols].isin([0,1]).all() and not cols.endswith(""_count""):
        dp[cols] = dp[cols].astype(bool)

# Sum the 'expense' values per case
expense_sums = dp.groupby('case_concept_name')['expense'].sum().reset_index(name='expense_sum')

# Merge the sum back to the original dataframe
dp = pd.merge(dp, expense_sums, on='case_concept_name', how='left')

# Ensure 'expense_sum' is of integer type and has no NaN values
dp['expense_sum'] = dp['expense_sum'].fillna(0).astype(int)

# Update the database table with the new column
cur = conn.cursor()
cur.execute(""ALTER TABLE event_log ADD COLUMN expense_sum INTEGER"")
dp.to_sql('temp_table', conn, if_exists='replace', index=False)
conn.commit()
","No code","No code","[]","0         1100
1         1100
2         1100
3         1100
4         1100
          ... 
561465    1516
561466    1516
561467    1516
561468    1516
561469    1516
Name: expense_sum, Length: 561470, dtype: int64","0"
"Create a column called ""amount_last"", defined as type int, which takes the highest ""amount"" value per case, make sure ""amount_last"" is the same for every row in a case","amount_last","1","0          3500
1          3500
2          7150
3          7150
4          7150
          ...  
561465    26200
561466    26200
561467    26200
561468    26200
561469    26200
Name: amount_last, Length: 561470, dtype: int64","No rationale","- 'amount_last' (int): The highest 'amount' value recorded for each case, ensuring consistency across all rows within the same case.","True","
import pandas as pd
query = 'SELECT * FROM event_log'
dp = pd.read_sql_query(query, conn, parse_dates=['time_timestamp'])
for cols in dp.columns:
    if dp[cols].isin([0,1]).all() and not cols.endswith(""_count""):
        dp[cols] = dp[cols].astype(bool)

# Calculate the highest 'amount' value per case
amount_last_per_case = dp.groupby('case_concept_name')['amount'].max().reset_index(name='amount_last')

# Merge the highest amount back to the original dataframe
dp = pd.merge(dp, amount_last_per_case, on='case_concept_name', how='left')

# Ensure 'amount_last' is of integer type and has no NaN values
dp['amount_last'] = dp['amount_last'].fillna(0).astype(int)

# Update the database table with the new column
cur = conn.cursor()
cur.execute(""ALTER TABLE event_log ADD COLUMN amount_last INTEGER"")
dp.to_sql('temp_table', conn, if_exists='replace', index=False)
conn.commit()
","No code","No code","[]","0          3500
1          3500
2          7150
3          7150
4          7150
          ...  
561465    26200
561466    26200
561467    26200
561468    26200
561469    26200
Name: amount_last, Length: 561470, dtype: int64","0"
"Create a column called ""dismissed"" which is a boolean, TRUE if any of the values in a case of ""dismissal"" contain either  ""G"" or ""#"", if not False. Apply the same value across all rows of each case","dismissed","1","0         False
1         False
2         False
3         False
4         False
          ...  
561465    False
561466    False
561467    False
561468    False
561469    False
Name: dismissed, Length: 561470, dtype: bool","No rationale","- 'dismissed' (boolean): TRUE if any dismissal value in a case is 'G' or '#', indicating the fine was dismissed by the judge or the prefecture; FALSE otherwise. This value is consistent across all rows within the same case.","True","
import pandas as pd
query = 'SELECT * FROM event_log'
dp = pd.read_sql_query(query, conn, parse_dates=['time_timestamp'])
for cols in dp.columns:
    if dp[cols].isin([0,1]).all() and not cols.endswith(""_count""):
        dp[cols] = dp[cols].astype(bool)

# Determine if any dismissal value in a case is 'G' or '#'
dismissed_cases = dp.groupby('case_concept_name')['dismissal'].apply(lambda x: x.isin(['G', '#']).any())

# Map the result back to the original dataframe
dp['dismissed'] = dp['case_concept_name'].map(dismissed_cases)

# Update the database table with the new column 'dismissed'
cur = conn.cursor()
cur.execute(""ALTER TABLE event_log ADD COLUMN dismissed BOOLEAN"")
dp.to_sql('temp_table', conn, if_exists='replace', index=False)
conn.commit()
","No code","No code","[]","0         False
1         False
2         False
3         False
4         False
          ...  
561465    False
561466    False
561467    False
561468    False
561469    False
Name: dismissed, Length: 561470, dtype: bool","0"
"Create a column called ""credit_collected"" which is a boolean. True if any of the values in a case in the column ""concept_name"" contain ""Send for Credit Collection"", if not False. Apply the same value across all rows of each case.","credit_collected","1","0         False
1         False
2          True
3          True
4          True
          ...  
561465     True
561466     True
561467     True
561468     True
561469     True
Name: credit_collected, Length: 561470, dtype: bool","No rationale","- 'credit_collected' (boolean): TRUE if the 'Send for Credit Collection' event occurs in the 'concept_name' column for any row within a case, indicating that the case has been sent for credit collection; FALSE otherwise. This value is consistent across all rows within the same case.","True","
import pandas as pd
query = 'SELECT * FROM event_log'
dp = pd.read_sql_query(query, conn, parse_dates=['time_timestamp'])
for cols in dp.columns:
    if dp[cols].isin([0,1]).all() and not cols.endswith(""_count""):
        dp[cols] = dp[cols].astype(bool)

# Determine if 'Send for Credit Collection' occurs in each case
dp['credit_collected'] = dp.groupby('case_concept_name')['concept_name'].transform(
    lambda x: x.isin(['Send for Credit Collection']).any()
)

# Update the database table with the new column 'credit_collected'
cur = conn.cursor()
cur.execute(""ALTER TABLE event_log ADD COLUMN credit_collected BOOLEAN"")
dp.to_sql('temp_table', conn, if_exists='replace', index=False)
conn.commit()
","No code","No code","[]","0         False
1         False
2          True
3          True
4          True
          ...  
561465     True
561466     True
561467     True
561468     True
561469     True
Name: credit_collected, Length: 561470, dtype: bool","0"
"Create a column called ""penalty_added"" which is a boolean, TRUE if any of the values in a case in the column ""concept_name""contain ""Add penalty"", if not False. Apply the same value across all rows of each case.","penalty_added","1","0         False
1         False
2          True
3          True
4          True
          ...  
561465     True
561466     True
561467     True
561468     True
561469     True
Name: penalty_added, Length: 561470, dtype: bool","No rationale","- 'penalty_added' (boolean): TRUE if the 'Add penalty' event occurs in the 'concept_name' column for any row within a case, indicating that a penalty was added; FALSE otherwise. This value is consistent across all rows within the same case.","True","
import pandas as pd
query = 'SELECT * FROM event_log'
dp = pd.read_sql_query(query, conn, parse_dates=['time_timestamp'])
for cols in dp.columns:
    if dp[cols].isin([0,1]).all() and not cols.endswith(""_count""):
        dp[cols] = dp[cols].astype(bool)

# Determine if 'Add penalty' occurs in 'concept_name' for each case
dp['penalty_added'] = dp.groupby('case_concept_name')['concept_name'].transform(lambda x: 'Add penalty' in x.values)

# Update the database table with the new column 'penalty_added'
cur = conn.cursor()
cur.execute(""ALTER TABLE event_log ADD COLUMN penalty_added BOOLEAN"")
dp.to_sql('temp_table', conn, if_exists='replace', index=False)
conn.commit()
","No code","No code","[]","0         False
1         False
2          True
3          True
4          True
          ...  
561465     True
561466     True
561467     True
561468     True
561469     True
Name: penalty_added, Length: 561470, dtype: bool","0"
"Create a column called ""appealed_to_judge"" which is a boolean. TRUE if any of the values in a case in the column ""concept_name"" of a case contains ""Appeal to Judge"". False if else. Make sure ""appealed_to_judge"" is the same value across all rows of a case.","appealed_to_judge","1","0         False
1         False
2         False
3         False
4         False
          ...  
561465    False
561466    False
561467    False
561468    False
561469    False
Name: appealed_to_judge, Length: 561470, dtype: bool","No rationale","- 'appealed_to_judge' (boolean): TRUE if the event 'Appeal to Judge' occurs in the 'concept_name' column for any row within a case, indicating that an appeal was made to a judge; FALSE otherwise. This value is consistent across all rows within the same case.","True","
import pandas as pd
query = 'SELECT * FROM event_log'
dp = pd.read_sql_query(query, conn, parse_dates=['time_timestamp'])
for cols in dp.columns:
    if dp[cols].isin([0,1]).all() and not cols.endswith(""_count""):
        dp[cols] = dp[cols].astype(bool)

# Determine if 'Appeal to Judge' occurs in 'concept_name' for each case
dp['appealed_to_judge'] = dp.groupby('case_concept_name')['concept_name'].transform(
    lambda x: x.isin(['Appeal to Judge']).any()
)

# Update the database table with the new column 'appealed_to_judge'
cur = conn.cursor()
cur.execute(""ALTER TABLE event_log ADD COLUMN appealed_to_judge BOOLEAN"")
dp.to_sql('temp_table', conn, if_exists='replace', index=False)
conn.commit()
","No code","No code","[]","0         False
1         False
2         False
3         False
4         False
          ...  
561465    False
561466    False
561467    False
561468    False
561469    False
Name: appealed_to_judge, Length: 561470, dtype: bool","0"
"Create a column called ""appealed_to_prefecture"" which is a boolean. TRUE if any of the values in a case in the column ""concept_name"" of a case contains ""Insert Date Appeal to Prefecture"". False if else. Make sure ""appealed_to_judge"" is the same value across all rows of a case.","appealed_to_prefecture","1","0         False
1         False
2         False
3         False
4         False
          ...  
561465    False
561466    False
561467    False
561468    False
561469    False
Name: appealed_to_prefecture, Length: 561470, dtype: bool","No rationale","- 'appealed_to_prefecture' (boolean): TRUE if the event 'Insert Date Appeal to Prefecture' occurs in the 'concept_name' column for any row within a case, indicating that an appeal was made to the prefecture; FALSE otherwise. This value is consistent across all rows within the same case.","True","
import pandas as pd
query = 'SELECT * FROM event_log'
dp = pd.read_sql_query(query, conn, parse_dates=['time_timestamp'])
for cols in dp.columns:
    if dp[cols].isin([0,1]).all() and not cols.endswith(""_count""):
        dp[cols] = dp[cols].astype(bool)

# Determine if there is an appeal to the prefecture for each case
dp['appealed_to_prefecture'] = dp.groupby('case_concept_name')['concept_name'].transform(
    lambda x: x.isin(['Insert Date Appeal to Prefecture']).any()
)

# Update the database table with the new column 'appealed_to_prefecture'
cur = conn.cursor()
cur.execute(""ALTER TABLE event_log ADD COLUMN appealed_to_prefecture BOOLEAN"")
dp.to_sql('temp_table', conn, if_exists='replace', index=False)
conn.commit()
","No code","No code","[]","0         False
1         False
2         False
3         False
4         False
          ...  
561465    False
561466    False
561467    False
561468    False
561469    False
Name: appealed_to_prefecture, Length: 561470, dtype: bool","0"
