"Instruction","Column","df_name","Example","Rationale","Description","PM_Metric","Code 1","Code 2","Code 3","errors","pred_col","num_rows_different"
"Create column called ""dismissed_by_prefecture"", defined as a boolean. True if any of the values of a case in column dismissal = ""#"" , if not False. Apply the same value across all rows of each case","dismissed_by_prefecture","1","0         False
1         False
2         False
3         False
4         False
          ...  
561465    False
561466    False
561467    False
561468    False
561469    False
Name: dismissed_by_prefecture, Length: 561470, dtype: bool","No rationale","No description","0.0","
import pandas as pd
query = 'SELECT * FROM event_log'
dp = pd.read_sql_query(query, conn, parse_dates=['time_timestamp'])
for cols in dp.columns:
    if dp[cols].isin([0,1]).all() and not cols.endswith(""_count""):
        dp[cols] = dp[cols].astype(bool)

# Create new column ""dismissed_by_prefecture""
dp['dismissed_by_prefecture'] = dp.groupby('case_concept_name')['dismissal'].transform(lambda x: (x == '#').any()).astype(bool)

# Ensure the new column is of integer type and has no NaN values
dp['dismissed_by_prefecture'] = dp['dismissed_by_prefecture'].fillna(0).astype(int)

# Update the database table with the new column now referred to as dismissed_by_prefecture
cur = conn.cursor()
cur.execute(""ALTER TABLE event_log ADD COLUMN dismissed_by_prefecture INTEGER"")  # Assuming ""dismissed_by_prefecture"" is an integer type
dp.to_sql('temp_table', conn, if_exists='replace', index=False)
conn.commit()
","No code","No code","[]","0         False
1         False
2         False
3         False
4         False
          ...  
561465    False
561466    False
561467    False
561468    False
561469    False
Name: dismissed_by_prefecture, Length: 561470, dtype: bool","0"
"Create column called ""dismissed_by_judge"", defined as a boolean. True if any of the values of a case in column dismissal = ""G"" , if not False. Apply the same value across all rows of each case","dismissed_by_judge","1","0         False
1         False
2         False
3         False
4         False
          ...  
561465    False
561466    False
561467    False
561468    False
561469    False
Name: dismissed_by_judge, Length: 561470, dtype: bool","No rationale","No description","0.0","
import pandas as pd
query = 'SELECT * FROM event_log'
dp = pd.read_sql_query(query, conn, parse_dates=['time_timestamp'])
for cols in dp.columns:
    if dp[cols].isin([0,1]).all() and not cols.endswith(""_count""):
        dp[cols] = dp[cols].astype(bool)

# Create new column ""dismissed_by_judge""
dp['dismissed_by_judge'] = dp.groupby('case_concept_name')['dismissal'].transform(lambda x: 'G' in x.values).astype(bool)

# Ensure the new column is of integer type and has no NaN values
dp['dismissed_by_judge'] = dp['dismissed_by_judge'].fillna(0).astype(int)

# Update the database table with the new column now referred to as dismissed_by_judge
cur = conn.cursor()
cur.execute(""ALTER TABLE event_log ADD COLUMN dismissed_by_judge INTEGER"")  # Assuming ""dismissed_by_judge"" is an integer type
dp.to_sql('temp_table', conn, if_exists='replace', index=False)
conn.commit()
","No code","No code","[]","0         False
1         False
2         False
3         False
4         False
          ...  
561465    False
561466    False
561467    False
561468    False
561469    False
Name: dismissed_by_judge, Length: 561470, dtype: bool","0"
"Create a column called ""maxtotalPaymentAmount"", type int, which for every case is the highest ""totalPaymentAmount"" value, if all the values of ""totalPaymentAmount"" are Nan or Null, simply use 0 instead. Make sure its the same value applied to each row of a case","maxtotalPaymentAmount","1","0         0
1         0
2         0
3         0
4         0
         ..
561465    0
561466    0
561467    0
561468    0
561469    0
Name: maxtotalPaymentAmount, Length: 561470, dtype: int64","No rationale","No description","0.0","No code","No code","No code","[]","error","561470"
"Create a column called ""expense_sum"", defined as type int, which sums all ""expense"" values per case, make sure this exepense_sum is the same for every row in a case","expense_sum","1","0         1100
1         1100
2         1100
3         1100
4         1100
          ... 
561465    1516
561466    1516
561467    1516
561468    1516
561469    1516
Name: expense_sum, Length: 561470, dtype: int64","No rationale","No description","0.0","No code","No code","No code","[]","error","561470"
"Create a column called ""amount_last"", defined as type int, which takes the highest ""amount"" value per case, make sure ""amount_last"" is the same for every row in a case","amount_last","1","0          3500
1          3500
2          7150
3          7150
4          7150
          ...  
561465    26200
561466    26200
561467    26200
561468    26200
561469    26200
Name: amount_last, Length: 561470, dtype: int64","No rationale","No description","0.0","No code","No code","No code","[]","error","561470"
"Create a column called ""dismissed"" which is a boolean, TRUE if any of the values in a case of ""dismissal"" contain either  ""G"" or ""#"", if not False. Apply the same value across all rows of each case","dismissed","1","0         False
1         False
2         False
3         False
4         False
          ...  
561465    False
561466    False
561467    False
561468    False
561469    False
Name: dismissed, Length: 561470, dtype: bool","No rationale","No description","0.0","
import pandas as pd
query = 'SELECT * FROM event_log'
dp = pd.read_sql_query(query, conn, parse_dates=['time_timestamp'])
for cols in dp.columns:
    if dp[cols].isin([0,1]).all() and not cols.endswith(""_count""):
        dp[cols] = dp[cols].astype(bool)

# Create new column ""dismissed"" based on the values in ""dismissal""
dp['dismissed'] = dp.groupby('case_concept_name')['dismissal'].transform(lambda x: x.isin(['G', '#']).any()).astype(bool)

# Ensure the new column is of integer type and has no NaN values
dp['dismissed'] = dp['dismissed'].fillna(0).astype(int)

# Update the database table with the new column now referred to as dismissed
cur = conn.cursor()
cur.execute(""ALTER TABLE event_log ADD COLUMN dismissed INTEGER"")  # Assuming ""dismissed"" is an integer type
dp.to_sql('temp_table', conn, if_exists='replace', index=False)
conn.commit()
","No code","No code","[]","0         False
1         False
2         False
3         False
4         False
          ...  
561465    False
561466    False
561467    False
561468    False
561469    False
Name: dismissed, Length: 561470, dtype: bool","0"
"Create a column called ""credit_collected"" which is a boolean. True if any of the values in a case in the column ""concept_name"" contain ""Send for Credit Collection"", if not False. Apply the same value across all rows of each case.","credit_collected","1","0         False
1         False
2          True
3          True
4          True
          ...  
561465     True
561466     True
561467     True
561468     True
561469     True
Name: credit_collected, Length: 561470, dtype: bool","No rationale","No description","0.0","
import pandas as pd
query = 'SELECT * FROM event_log'
dp = pd.read_sql_query(query, conn, parse_dates=['time_timestamp'])
for cols in dp.columns:
    if dp[cols].isin([0,1]).all() and not cols.endswith(""_count""):
        dp[cols] = dp[cols].astype(bool)

# Create new column ""credit_collected""
dp['credit_collected'] = dp.groupby('case_concept_name')['concept_name'].transform(lambda x: x.str.contains('Send for Credit Collection').any()).astype(bool)

# Ensure the new column is of integer type and has no NaN values
dp['credit_collected'] = dp['credit_collected'].fillna(0).astype(int)

# Update the database table with the new column now referred to as credit_collected
cur = conn.cursor()
cur.execute(""ALTER TABLE event_log ADD COLUMN credit_collected INTEGER"")  # Assuming ""credit_collected"" is an integer type
dp.to_sql('temp_table', conn, if_exists='replace', index=False)
conn.commit()
","No code","No code","[]","0         False
1         False
2          True
3          True
4          True
          ...  
561465     True
561466     True
561467     True
561468     True
561469     True
Name: credit_collected, Length: 561470, dtype: bool","0"
"Create a column called ""penalty_added"" which is a boolean, TRUE if any of the values in a case in the column ""concept_name""contain ""Add penalty"", if not False. Apply the same value across all rows of each case.","penalty_added","1","0         False
1         False
2          True
3          True
4          True
          ...  
561465     True
561466     True
561467     True
561468     True
561469     True
Name: penalty_added, Length: 561470, dtype: bool","No rationale","No description","0.0","
import pandas as pd
query = 'SELECT * FROM event_log'
dp = pd.read_sql_query(query, conn, parse_dates=['time_timestamp'])
for cols in dp.columns:
    if dp[cols].isin([0,1]).all() and not cols.endswith(""_count""):
        dp[cols] = dp[cols].astype(bool)

# Create new column ""penalty_added""
dp['penalty_added'] = dp.groupby('case_concept_name')['concept_name'].transform(lambda x: x.str.contains('Add penalty').any()).astype(bool)

# Ensure the new column is of integer type and has no NaN values
dp['penalty_added'] = dp['penalty_added'].fillna(0).astype(int)

# Update the database table with the new column now referred to as penalty_added
cur = conn.cursor()
cur.execute(""ALTER TABLE event_log ADD COLUMN penalty_added INTEGER"")  # Assuming ""penalty_added"" is an integer type
dp.to_sql('temp_table', conn, if_exists='replace', index=False)
conn.commit()
","No code","No code","[]","0         False
1         False
2          True
3          True
4          True
          ...  
561465     True
561466     True
561467     True
561468     True
561469     True
Name: penalty_added, Length: 561470, dtype: bool","0"
"Create a column called ""appealed_to_judge"" which is a boolean. TRUE if any of the values in a case in the column ""concept_name"" of a case contains ""Appeal to Judge"". False if else. Make sure ""appealed_to_judge"" is the same value across all rows of a case.","appealed_to_judge","1","0         False
1         False
2         False
3         False
4         False
          ...  
561465    False
561466    False
561467    False
561468    False
561469    False
Name: appealed_to_judge, Length: 561470, dtype: bool","No rationale","No description","0.0","
import pandas as pd
query = 'SELECT * FROM event_log'
dp = pd.read_sql_query(query, conn, parse_dates=['time_timestamp'])
for cols in dp.columns:
    if dp[cols].isin([0,1]).all() and not cols.endswith(""_count""):
        dp[cols] = dp[cols].astype(bool)

# Create new column ""appealed_to_judge""
dp['appealed_to_judge'] = dp.groupby('case_concept_name')['concept_name'].transform(lambda x: x.str.contains('Appeal to Judge').any()).astype(int)

# Ensure the new column is of integer type and has no NaN values
dp['appealed_to_judge'] = dp['appealed_to_judge'].fillna(0).astype(int)

# Update the database table with the new column now referred to as appealed_to_judge
cur = conn.cursor()
cur.execute(""ALTER TABLE event_log ADD COLUMN appealed_to_judge INTEGER"")  # Assuming ""appealed_to_judge"" is an integer type
dp.to_sql('temp_table', conn, if_exists='replace', index=False)
conn.commit()
","No code","No code","[]","0         False
1         False
2         False
3         False
4         False
          ...  
561465    False
561466    False
561467    False
561468    False
561469    False
Name: appealed_to_judge, Length: 561470, dtype: bool","0"
"Create a column called ""appealed_to_prefecture"" which is a boolean. TRUE if any of the values in a case in the column ""concept_name"" of a case contains ""Insert Date Appeal to Prefecture"". False if else. Make sure ""appealed_to_judge"" is the same value across all rows of a case.","appealed_to_prefecture","1","0         False
1         False
2         False
3         False
4         False
          ...  
561465    False
561466    False
561467    False
561468    False
561469    False
Name: appealed_to_prefecture, Length: 561470, dtype: bool","No rationale","No description","0.0","
import pandas as pd
query = 'SELECT * FROM event_log'
dp = pd.read_sql_query(query, conn, parse_dates=['time_timestamp'])
for cols in dp.columns:
    if dp[cols].isin([0,1]).all() and not cols.endswith(""_count""):
        dp[cols] = dp[cols].astype(bool)

# Create new column ""appealed_to_prefecture""
dp['appealed_to_prefecture'] = dp.groupby('case_concept_name')['concept_name'].transform(lambda x: x.str.contains(""Insert Date Appeal to Prefecture"").any()).astype(int)

# Fill NaN values and ensure the column is of integer type
dp['appealed_to_prefecture'] = dp['appealed_to_prefecture'].fillna(0).astype(int)

# Update the database table with the new column now referred to as appealed_to_prefecture
cur = conn.cursor()
cur.execute(""ALTER TABLE event_log ADD COLUMN appealed_to_prefecture INTEGER"")  # Assuming ""appealed_to_prefecture"" is an integer type
dp.to_sql('temp_table', conn, if_exists='replace', index=False)
conn.commit()
","No code","No code","[]","0         False
1         False
2         False
3         False
4         False
          ...  
561465    False
561466    False
561467    False
561468    False
561469    False
Name: appealed_to_prefecture, Length: 561470, dtype: bool","0"
