"Instruction","Column","df_name","Example","Rationale","Description","PM_Metric","Code 1","Code 2","Code 3","errors","pred_col","num_rows_different"
"Create column called ""dismissed_by_prefecture"", defined as a boolean. True if any of the values of a case in column dismissal = ""#"" , if not False. Apply the same value across all rows of each case","dismissed_by_prefecture","1","0         False
1         False
2         False
3         False
4         False
          ...  
561465    False
561466    False
561467    False
561468    False
561469    False
Name: dismissed_by_prefecture, Length: 561470, dtype: bool","No rationale","- 'dismissed_by_prefecture' (boolean): Indicates whether a case was dismissed by the prefecture. True if any of the 'dismissal' values for a case is '#', otherwise False. Applied consistently across all rows of each case.","True","dp['dismissed_by_prefecture'] = dp.groupby('case_concept_name')['dismissal'].transform(lambda x: '#' in x.values)

# Update the database table with the new column now referred to as dismissed_by_prefecture
cur = conn.cursor()
cur.execute(""ALTER TABLE event_log ADD COLUMN dismissed_by_prefecture BOOLEAN"")  # Assuming ""dismissed_by_prefecture"" is a boolean type
conn.commit()
dp.to_sql('temp_table', conn, if_exists='replace', index=False)
conn.commit()","import pandas as pd
query = 'SELECT * FROM event_log'
dp = pd.read_sql_query(query, conn, parse_dates=['time_timestamp'])
for cols in dp.columns:
    if dp[cols].isin([0,1]).all() and not cols.endswith(""_count""):
        dp[cols] = dp[cols].astype(bool)

dp['dismissed_by_prefecture'] = dp.groupby('case_concept_name')['dismissal'].transform(lambda x: '#' in x.values)

cur = conn.cursor()
cur.execute(""ALTER TABLE event_log ADD COLUMN dismissed_by_prefecture BOOLEAN"")
conn.commit()
dp.to_sql('temp_table', conn, if_exists='replace', index=False)
conn.commit()","
# Group by 'case_concept_name' and check if any 'dismissal' value is '#'
dp['dismissed_by_prefecture'] = dp.groupby('case_concept_name')['dismissal'].transform(lambda x: x.eq('#').any())

# Update the database table with the new column 'dismissed_by_prefecture'
cur = conn.cursor()
cur.execute(""ALTER TABLE event_log ADD COLUMN dismissed_by_prefecture BOOLEAN"")  # The new column is of boolean type
dp.to_sql('temp_table', conn, if_exists='replace', index=False)
conn.commit()
","[""name 'dp' is not defined\\nStack trace:\\nLine 1: dp['dismissed_by_prefecture'] = dp.groupby('case_concept_name')['dismissal'].transform(lambda x: '#' in x.values)"", ""name 'dp' is not defined\\nStack trace:\\nLine 3: dp['dismissed_by_prefecture'] = dp.groupby('case_concept_name')['dismissal'].transform(lambda x: x.eq('#').any())""]","0         False
1         False
2         False
3         False
4         False
          ...  
561465    False
561466    False
561467    False
561468    False
561469    False
Name: dismissed_by_prefecture, Length: 561470, dtype: bool","0"
"Create column called ""dismissed_by_judge"", defined as a boolean. True if any of the values of a case in column dismissal = ""G"" , if not False. Apply the same value across all rows of each case","dismissed_by_judge","1","0         False
1         False
2         False
3         False
4         False
          ...  
561465    False
561466    False
561467    False
561468    False
561469    False
Name: dismissed_by_judge, Length: 561470, dtype: bool","No rationale","- 'dismissed_by_judge' (boolean): Indicates whether a case was dismissed by the judge. True if any of the 'dismissal' values for a case is 'G', otherwise False. Applied consistently across all rows of each case.","True","
dp['dismissed_by_judge'] = dp.groupby('case_concept_name')['dismissal'].transform(lambda x: 'G' in x.values)

cur = conn.cursor()
cur.execute(""ALTER TABLE event_log ADD COLUMN dismissed_by_judge BOOLEAN"")
dp.to_sql('temp_table', conn, if_exists='replace', index=False)
conn.commit()
","
import pandas as pd
query = 'SELECT * FROM event_log'
dp = pd.read_sql_query(query, conn, parse_dates=['time_timestamp'])
for cols in dp.columns:
    if dp[cols].isin([0,1]).all() and not cols.endswith(""_count""):
        dp[cols] = dp[cols].astype(bool)

# Create new column 'dismissed_by_judge'
dp['dismissed_by_judge'] = dp.groupby('case_concept_name')['dismissal'].transform(lambda x: 'G' in x.values)

cur = conn.cursor()
cur.execute(""ALTER TABLE event_log ADD COLUMN dismissed_by_judge BOOLEAN"")
dp.to_sql('temp_table', conn, if_exists='replace', index=False)
conn.commit()
","
# Create the 'dismissed_by_judge' column
case_judge_dismissal = dp.groupby('case_concept_name')['dismissal'].apply(lambda x: 'G' in x.values).reset_index()
case_judge_dismissal.rename(columns={'dismissal': 'dismissed_by_judge'}, inplace=True)
dp = dp.merge(case_judge_dismissal, on='case_concept_name', how='left')

# Ensure 'dismissed_by_judge' is of boolean type
cur.execute(""ALTER TABLE event_log ADD COLUMN dismissed_by_judge BOOLEAN"")
dp['dismissed_by_judge'] = dp['dismissed_by_judge'].astype(bool)
dp.to_sql('temp_table', conn, if_exists='replace', index=False)
conn.commit()
","[""name 'dp' is not defined\\nStack trace:\\nLine 2: dp['dismissed_by_judge'] = dp.groupby('case_concept_name')['dismissal'].transform(lambda x: 'G' in x.values)"", ""name 'dp' is not defined\\nStack trace:\\nLine 3: case_judge_dismissal = dp.groupby('case_concept_name')['dismissal'].apply(lambda x: 'G' in x.values).reset_index()""]","0         False
1         False
2         False
3         False
4         False
          ...  
561465    False
561466    False
561467    False
561468    False
561469    False
Name: dismissed_by_judge, Length: 561470, dtype: bool","0"
"Create a column called ""maxtotalPaymentAmount"", type int, which for every case is the highest ""totalPaymentAmount"" value, if all the values of ""totalPaymentAmount"" are Nan or Null, simply use 0 instead. Make sure its the same value applied to each row of a case","maxtotalPaymentAmount","1","0         0
1         0
2         0
3         0
4         0
         ..
561465    0
561466    0
561467    0
561468    0
561469    0
Name: maxtotalPaymentAmount, Length: 561470, dtype: int64","No rationale","- 'maxtotalPaymentAmount' (int): The maximum total payment amount recorded for each case. If all values are NaN or Null, the value is set to 0. Applied consistently across all rows of each case.","True","dp['maxtotalPaymentAmount'] = dp.groupby('case_concept_name')['totalPaymentAmount'].transform(lambda x: x.max() if not x.isnull().all() else 0)
dp['maxtotalPaymentAmount'] = dp['maxtotalPaymentAmount'].fillna(0).astype(int)","import pandas as pd
query = 'SELECT * FROM event_log'
dp = pd.read_sql_query(query, conn, parse_dates=['time_timestamp'])
for cols in dp.columns:
    if dp[cols].isin([0,1]).all() and not cols.endswith('_count'):
        dp[cols] = dp[cols].astype(bool)

# Create new column 'maxtotalPaymentAmount'
dp['maxtotalPaymentAmount'] = dp.groupby('case_concept_name')['totalPaymentAmount'].transform(lambda x: x.max() if not x.isnull().all() else 0)
dp['maxtotalPaymentAmount'] = dp['maxtotalPaymentAmount'].fillna(0).astype(int)

# Update the database table with the new column
cur = conn.cursor()
cur.execute('ALTER TABLE event_log ADD COLUMN maxtotalPaymentAmount INTEGER')
dp.to_sql('temp_table', conn, if_exists='replace', index=False)
conn.commit()","dp['maxtotalPaymentAmount'] = dp.groupby('case_concept_name')['totalPaymentAmount'].transform(lambda x: x.max() if not x.isnull().all() else 0)
dp['maxtotalPaymentAmount'] = dp['maxtotalPaymentAmount'].fillna(0).astype(int)","[""name 'dp' is not defined\\nStack trace:\\nLine 1: dp['maxtotalPaymentAmount'] = dp.groupby('case_concept_name')['totalPaymentAmount'].transform(lambda x: x.max() if not x.isnull().all() else 0)"", ""name 'dp' is not defined\\nStack trace:\\nLine 1: dp['maxtotalPaymentAmount'] = dp.groupby('case_concept_name')['totalPaymentAmount'].transform(lambda x: x.max() if not x.isnull().all() else 0)""]","0         0
1         0
2         0
3         0
4         0
         ..
561465    0
561466    0
561467    0
561468    0
561469    0
Name: maxtotalPaymentAmount, Length: 561470, dtype: int64","0"
"Create a column called ""expense_sum"", defined as type int, which sums all ""expense"" values per case, make sure this exepense_sum is the same for every row in a case","expense_sum","1","0         1100
1         1100
2         1100
3         1100
4         1100
          ... 
561465    1516
561466    1516
561467    1516
561468    1516
561469    1516
Name: expense_sum, Length: 561470, dtype: int64","No rationale","- 'expense_sum' (int): The total sum of 'expense' values for each case, consistently applied to all rows within the same case.","True","
# Calculate the sum of 'expense' per case
expense_sum_per_case = dp.groupby('case_concept_name')['expense'].sum().reset_index()
expense_sum_per_case.columns = ['case_concept_name', 'expense_sum']

# Merge the expense_sum back to the original dataframe
dp = dp.merge(expense_sum_per_case, on='case_concept_name', how='left')

dp['expense_sum'] = dp['expense_sum'].fillna(0).astype(int)

# Update the database table with the new column
cur = conn.cursor()
cur.execute(""ALTER TABLE event_log ADD COLUMN expense_sum INTEGER"")
dp.to_sql('temp_table', conn, if_exists='replace', index=False)
conn.commit()
","
import pandas as pd
query = 'SELECT * FROM event_log'
dp = pd.read_sql_query(query, conn, parse_dates=['time_timestamp'])
for cols in dp.columns:
    if dp[cols].isin([0,1]).all() and not cols.endswith(""_count""):
        dp[cols] = dp[cols].astype(bool)

# Calculate the sum of 'expense' per case
expense_sum_per_case = dp.groupby('case_concept_name')['expense'].sum().reset_index()
expense_sum_per_case.columns = ['case_concept_name', 'expense_sum']

# Merge the expense_sum back to the original dataframe
dp = dp.merge(expense_sum_per_case, on='case_concept_name', how='left')

dp['expense_sum'] = dp['expense_sum'].fillna(0).astype(int)

# Update the database table with the new column
cur = conn.cursor()
cur.execute(""ALTER TABLE event_log ADD COLUMN expense_sum INTEGER"")
dp.to_sql('temp_table', conn, if_exists='replace', index=False)
conn.commit()
","No code","[""name 'dp' is not defined\\nStack trace:\\nLine 3: expense_sum_per_case = dp.groupby('case_concept_name')['expense'].sum().reset_index()""]","0         1100
1         1100
2         1100
3         1100
4         1100
          ... 
561465    1516
561466    1516
561467    1516
561468    1516
561469    1516
Name: expense_sum, Length: 561470, dtype: int64","0"
"Create a column called ""amount_last"", defined as type int, which takes the highest ""amount"" value per case, make sure ""amount_last"" is the same for every row in a case","amount_last","1","0          3500
1          3500
2          7150
3          7150
4          7150
          ...  
561465    26200
561466    26200
561467    26200
561468    26200
561469    26200
Name: amount_last, Length: 561470, dtype: int64","No rationale","- 'amount_last' (int): The maximum 'amount' value recorded for each 'case_concept_name'. This value is consistently applied to all rows within the same case, ensuring that it reflects the highest amount due for that particular case.","True","
dp['amount_last'] = dp.groupby('case_concept_name')['amount'].transform('max')
dp['amount_last'] = dp['amount_last'].fillna(0).astype(int)

cur = conn.cursor()
cur.execute(""ALTER TABLE event_log ADD COLUMN amount_last INTEGER"")
dp.to_sql('temp_table', conn, if_exists='replace', index=False)
conn.commit()
","
import pandas as pd
query = 'SELECT * FROM event_log'
dp = pd.read_sql_query(query, conn, parse_dates=['time_timestamp'])
for cols in dp.columns:
    if dp[cols].isin([0,1]).all() and not cols.endswith(""_count""):
        dp[cols] = dp[cols].astype(bool)

dp['amount_last'] = dp.groupby('case_concept_name')['amount'].transform('max')
dp['amount_last'] = dp['amount_last'].fillna(0).astype(int)

cur = conn.cursor()
cur.execute(""ALTER TABLE event_log ADD COLUMN amount_last INTEGER"")
dp.to_sql('temp_table', conn, if_exists='replace', index=False)
conn.commit()
","No code","[""name 'dp' is not defined\\nStack trace:\\nLine 2: dp['amount_last'] = dp.groupby('case_concept_name')['amount'].transform('max')""]","0          3500
1          3500
2          7150
3          7150
4          7150
          ...  
561465    26200
561466    26200
561467    26200
561468    26200
561469    26200
Name: amount_last, Length: 561470, dtype: int64","0"
"Create a column called ""dismissed"" which is a boolean, TRUE if any of the values in a case of ""dismissal"" contain either  ""G"" or ""#"", if not False. Apply the same value across all rows of each case","dismissed","1","0         False
1         False
2         False
3         False
4         False
          ...  
561465    False
561466    False
561467    False
561468    False
561469    False
Name: dismissed, Length: 561470, dtype: bool","No rationale","- 'dismissed' (boolean): Indicates whether a case was dismissed by either the judge or the prefecture. True if any of the 'dismissal' values for a case contain 'G' or '#', otherwise False. Applied consistently across all rows of each case.","True","
# Create the 'dismissed' column
import pandas as pd
query = 'SELECT * FROM event_log'
dp = pd.read_sql_query(query, conn, parse_dates=['time_timestamp'])
for cols in dp.columns:
    if dp[cols].isin([0,1]).all() and not cols.endswith(""_count""):
        dp[cols] = dp[cols].astype(bool)

# Create the 'dismissed' column
case_group = dp.groupby('case_concept_name')['dismissal']
dp['dismissed'] = case_group.transform(lambda x: x.str.contains('G|#').any())

# Update the database table with the new column
cur = conn.cursor()
cur.execute(""ALTER TABLE event_log ADD COLUMN dismissed BOOLEAN"")
dp.to_sql('temp_table', conn, if_exists='replace', index=False)
conn.commit()
","No code","No code","[]","0         False
1         False
2         False
3         False
4         False
          ...  
561465    False
561466    False
561467    False
561468    False
561469    False
Name: dismissed, Length: 561470, dtype: bool","0"
"Create a column called ""credit_collected"" which is a boolean. True if any of the values in a case in the column ""concept_name"" contain ""Send for Credit Collection"", if not False. Apply the same value across all rows of each case.","credit_collected","1","0         False
1         False
2          True
3          True
4          True
          ...  
561465     True
561466     True
561467     True
561468     True
561469     True
Name: credit_collected, Length: 561470, dtype: bool","No rationale","- 'credit_collected' (boolean): Indicates whether a case has been sent for credit collection. True if any of the 'concept_name' values for a case include 'Send for Credit Collection', otherwise False. Applied consistently across all rows of each case.","True","dp['credit_collected'] = dp.groupby('case_concept_name')['concept_name'].transform(lambda x: 'Send for Credit Collection' in x.values)
dp['credit_collected'] = dp['credit_collected'].astype(bool)

cur = conn.cursor()
cur.execute(""ALTER TABLE event_log ADD COLUMN credit_collected BOOLEAN"")
dp.to_sql('temp_table', conn, if_exists='replace', index=False)
conn.commit()","import pandas as pd
query = 'SELECT * FROM event_log'
dp = pd.read_sql_query(query, conn, parse_dates=['time_timestamp'])
for cols in dp.columns:
    if dp[cols].isin([0,1]).all() and not cols.endswith(""_count""):
        dp[cols] = dp[cols].astype(bool)

dp['credit_collected'] = dp.groupby('case_concept_name')['concept_name'].transform(lambda x: 'Send for Credit Collection' in x.values)
dp['credit_collected'] = dp['credit_collected'].astype(bool)

cur = conn.cursor()
cur.execute(""ALTER TABLE event_log ADD COLUMN credit_collected BOOLEAN"")
dp.to_sql('temp_table', conn, if_exists='replace', index=False)
conn.commit()","No code","[""name 'dp' is not defined\\nStack trace:\\nLine 1: dp['credit_collected'] = dp.groupby('case_concept_name')['concept_name'].transform(lambda x: 'Send for Credit Collection' in x.values)""]","0         False
1         False
2          True
3          True
4          True
          ...  
561465     True
561466     True
561467     True
561468     True
561469     True
Name: credit_collected, Length: 561470, dtype: bool","0"
"Create a column called ""penalty_added"" which is a boolean, TRUE if any of the values in a case in the column ""concept_name""contain ""Add penalty"", if not False. Apply the same value across all rows of each case.","penalty_added","1","0         False
1         False
2          True
3          True
4          True
          ...  
561465     True
561466     True
561467     True
561468     True
561469     True
Name: penalty_added, Length: 561470, dtype: bool","No rationale","- 'penalty_added' (boolean): Indicates whether an additional penalty was applied to a case. True if any of the 'concept_name' values for a case include 'Add penalty', otherwise False. Applied consistently across all rows of each case.","True","dp['penalty_added'] = dp.groupby('case_concept_name')['concept_name'].transform(lambda x: 'Add penalty' in x.values)

# Update the database table with the new column now referred to as penalty_added
cur = conn.cursor()
cur.execute(""ALTER TABLE event_log ADD COLUMN penalty_added BOOLEAN"")
dp.to_sql('temp_table', conn, if_exists='replace', index=False)
conn.commit()","import pandas as pd
query = 'SELECT * FROM event_log'
dp = pd.read_sql_query(query, conn, parse_dates=['time_timestamp'])
for cols in dp.columns:
    if dp[cols].isin([0,1]).all() and not cols.endswith(""_count""):
        dp[cols] = dp[cols].astype(bool)

# Create new column 'penalty_added'
dp['penalty_added'] = dp.groupby('case_concept_name')['concept_name'].transform(lambda x: 'Add penalty' in x.values)

# Update the database table with the new column now referred to as penalty_added
cur = conn.cursor()
cur.execute(""ALTER TABLE event_log ADD COLUMN penalty_added BOOLEAN"")
dp.to_sql('temp_table', conn, if_exists='replace', index=False)
conn.commit()","No code","[""name 'dp' is not defined\\nStack trace:\\nLine 1: dp['penalty_added'] = dp.groupby('case_concept_name')['concept_name'].transform(lambda x: 'Add penalty' in x.values)""]","0         False
1         False
2          True
3          True
4          True
          ...  
561465     True
561466     True
561467     True
561468     True
561469     True
Name: penalty_added, Length: 561470, dtype: bool","0"
"Create a column called ""appealed_to_judge"" which is a boolean. TRUE if any of the values in a case in the column ""concept_name"" of a case contains ""Appeal to Judge"". False if else. Make sure ""appealed_to_judge"" is the same value across all rows of a case.","appealed_to_judge","1","0         False
1         False
2         False
3         False
4         False
          ...  
561465    False
561466    False
561467    False
561468    False
561469    False
Name: appealed_to_judge, Length: 561470, dtype: bool","No rationale","- 'appealed_to_judge' (boolean): Indicates whether a case includes an appeal to a judge. True if any of the 'concept_name' values for a case contain 'Appeal to Judge', otherwise False. Applied consistently across all rows of each case.","True","
# Create new column 'appealed_to_judge'
dp['appealed_to_judge'] = dp.groupby('case_concept_name')['concept_name'].transform(lambda x: x.str.contains('Appeal to Judge').any())

# Update the database table with the new column
cur = conn.cursor()
cur.execute(""ALTER TABLE event_log ADD COLUMN appealed_to_judge BOOLEAN"")  # The new column is a boolean type
dp.to_sql('temp_table', conn, if_exists='replace', index=False)
conn.commit()
","
import pandas as pd
query = 'SELECT * FROM event_log'
dp = pd.read_sql_query(query, conn, parse_dates=['time_timestamp'])
for cols in dp.columns:
    if dp[cols].isin([0,1]).all() and not cols.endswith(""_count""):
        dp[cols] = dp[cols].astype(bool)

# Create new column 'appealed_to_judge'
dp['appealed_to_judge'] = dp.groupby('case_concept_name')['concept_name'].transform(lambda x: x.str.contains('Appeal to Judge').any())

# Update the database table with the new column
cur = conn.cursor()
cur.execute(""ALTER TABLE event_log ADD COLUMN appealed_to_judge BOOLEAN"")  # The new column is a boolean type
dp.to_sql('temp_table', conn, if_exists='replace', index=False)
conn.commit()
","No code","[""name 'dp' is not defined\\nStack trace:\\nLine 3: dp['appealed_to_judge'] = dp.groupby('case_concept_name')['concept_name'].transform(lambda x: x.str.contains('Appeal to Judge').any())""]","0         False
1         False
2         False
3         False
4         False
          ...  
561465    False
561466    False
561467    False
561468    False
561469    False
Name: appealed_to_judge, Length: 561470, dtype: bool","0"
"Create a column called ""appealed_to_prefecture"" which is a boolean. TRUE if any of the values in a case in the column ""concept_name"" of a case contains ""Insert Date Appeal to Prefecture"". False if else. Make sure ""appealed_to_judge"" is the same value across all rows of a case.","appealed_to_prefecture","1","0         False
1         False
2         False
3         False
4         False
          ...  
561465    False
561466    False
561467    False
561468    False
561469    False
Name: appealed_to_prefecture, Length: 561470, dtype: bool","No rationale","- 'appealed_to_prefecture' (boolean): Indicates whether a case includes an appeal to the prefecture. True if any of the 'concept_name' values for a case contain 'Insert Date Appeal to Prefecture', otherwise False. Applied consistently across all rows of each case.","True","
# Create new column 'appealed_to_prefecture'
dp['appealed_to_prefecture'] = dp.groupby('case_concept_name')['concept_name'] \\
    .transform(lambda x: 'Insert Date Appeal to Prefecture' in x.values)

# Update the database table with the new column
cur = conn.cursor()
cur.execute(""ALTER TABLE event_log ADD COLUMN appealed_to_prefecture BOOLEAN"")
dp.to_sql('temp_table', conn, if_exists='replace', index=False)
conn.commit()
","
import pandas as pd
query = 'SELECT * FROM event_log'
dp = pd.read_sql_query(query, conn, parse_dates=['time_timestamp'])
for cols in dp.columns:
    if dp[cols].isin([0,1]).all() and not cols.endswith(""_count""):
        dp[cols] = dp[cols].astype(bool)

# Create new column 'appealed_to_prefecture'
dp['appealed_to_prefecture'] = dp.groupby('case_concept_name')['concept_name'] \\
    .transform(lambda x: 'Insert Date Appeal to Prefecture' in x.values)

# Update the database table with the new column
cur = conn.cursor()
cur.execute(""ALTER TABLE event_log ADD COLUMN appealed_to_prefecture BOOLEAN"")
dp.to_sql('temp_table', conn, if_exists='replace', index=False)
conn.commit()
","No code","[""name 'dp' is not defined\\nStack trace:\\nLine 3: dp['appealed_to_prefecture'] = dp.groupby('case_concept_name')['concept_name'] \\\\""]","0         False
1         False
2         False
3         False
4         False
          ...  
561465    False
561466    False
561467    False
561468    False
561469    False
Name: appealed_to_prefecture, Length: 561470, dtype: bool","0"
